Date,Category,Amount
2024-01-22,Bills & Utilities,885.27
2024-01-22,Entertainment,189.96
2024-01-22,shopping,290.85
2024-01-22,health & Medical,0.0
2024-01-22,Education,0.0
2024-01-23,food & Dining,275.73
2024-01-23,Travel & Transportation,102.46
2024-01-23,Bills & Utilities,731.47
2024-01-23,Entertainment,0.0
2024-01-23,shopping,0.0
2024-01-23,health & Medical,0.0
2024-01-23,Education,0.0
2024-01-24,food & Dining,283.26
2024-01-24,Travel & Transportation,78.54
2024-01-24,Bills & Utilities,567.96
2024-01-24,Entertainment,0.0
2024-01-24,shopping,0.0
2024-01-24,health & Medical,0.0
2024-01-24,Education,281.7
2024-01-25,food & Dining,198.74
2024-01-25,Travel & Transportation,105.59
2024-01-25,Bills & Utilities,433.82
2024-01-25,Entertainment,0.0
2024-01-25,shopping,0.0
2024-01-25,health & Medical,0.0
2024-01-25,Education,0.0
2024-01-26,food & Dining,219.39
2024-01-26,Travel & Transportation,62.17
2024-01-26,Bills & Utilities,591.79
2024-01-26,Entertainment,0.0
2024-01-26,shopping,0.0
2024-01-26,health & Medical,0.0
2024-01-26,Education,0.0
2024-01-27,food & Dining,322.19
2024-01-27,Travel & Transportation,123.24
2024-01-27,Bills & Utilities,407.31
2024-01-27,Entertainment,0.0
2024-01-27,shopping,0.0
2024-01-27,health & Medical,0.0
2024-01-27,Education,0.0
2024-01-28,food & Dining,366.16
2024-01-28,Travel & Transportation,143.24
2024-01-28,Bills & Utilities,356.41
2024-01-28,Entertainment,0.0
2024-01-28,shopping,0.0
2024-01-28,health & Medical,0.0
2024-01-28,Education,0.0
2024-01-29,food & Dining,305.68
2024-01-29,Travel & Transportation,119.86
2024-01-29,Bills & Utilities,658.6
2024-01-29,Entertainment,0.0
2024-01-29,shopping,0.0
2024-01-29,health & Medical,102.84
2024-01-29,Education,0.0
2024-01-30,food & Dining,310.38
2024-01-30,Travel & Transportation,82.32
2024-01-30,Bills & Utilities,584.96
2024-01-30,Entertainment,0.0
2024-01-30,shopping,144.57
2024-01-30,health & Medical,0.0
2024-01-30,Education,0.0
2024-01-31,food & Dining,337.36
2024-01-31,Travel & Transportation,118.31
2024-01-31,Bills & Utilities,497.91
2024-01-31,Entertainment,0.0
2024-01-31,shopping,146.46
2024-01-31,health & Medical,146.48
2024-01-31,Education,0.0
2024-02-01,food & Dining,278.02
2024-02-01,Travel & Transportation,139.16
2024-02-01,Bills & Utilities,502.1
2024-02-01,Entertainment,0.0
2024-02-01,shopping,0.0
2024-02-01,health & Medical,112.97
2024-02-01,Education,0.0
2024-02-02,food & Dining,259.09
2024-02-02,Travel & Transportation,162.77
2024-02-02,Bills & Utilities,399.4
2024-02-02,Entertainment,0.0
2024-02-02,shopping,261.65
2024-02-02,health & Medical,0.0
2024-02-02,Education,0.0
2024-02-03,food & Dining,299.56
2024-02-03,Travel & Transportation,129.25
2024-02-03,Bills & Utilities,485.29
2024-02-03,Entertainment,0.0
2024-02-03,shopping,174.29
2024-02-03,health & Medical,0.0
2024-02-03,Education,0.0
2024-02-04,food & Dining,276.45
2024-02-04,Travel & Transportation,106.96
2024-02-04,Bills & Utilities,355.19
2024-02-04,Entertainment,51.48
2024-02-04,shopping,0.0
2024-02-04,health & Medical,0.0
2024-02-04,Education,148.15
2024-02-05,food & Dining,378.5
2024-02-05,Travel & Transportation,99.43
2024-02-05,Bills & Utilities,399.75
2024-02-05,Entertainment,0.0
2024-02-05,shopping,0.0
2024-02-05,health & Medical,0.0
2024-02-05,Education,0.0
2024-02-06,food & Dining,294.56
2024-02-06,Travel & Transportation,112.05
2024-02-06,Bills & Utilities,569.01
2024-02-06,Entertainment,0.0
2024-02-06,shopping,205.57
2024-02-06,health & Medical,0.0
2024-02-06,Education,0.0
2024-02-07,food & Dining,302.72
2024-02-07,Travel & Transportation,143.53
2024-02-07,Bills & Utilities,595.93
2024-02-07,Entertainment,0.0
2024-02-07,shopping,138.61
2024-02-07,health & Medical,0.0
2024-02-07,Education,0.0
2024-02-08,food & Dining,193.81
2024-02-08,Travel & Transportation,84.23
2024-02-08,Bills & Utilities,424.09
2024-02-08,Entertainment,160.53
2024-02-08,shopping,46.98
2024-02-08,health & Medical,0.0
2024-02-08,Education,0.0
2024-02-09,food & Dining,373.83
2024-02-09,Travel & Transportation,135.38
2024-02-09,Bills & Utilities,453.08
2024-02-09,Entertainment,30.08
2024-02-09,shopping,308.31
2024-02-09,health & Medical,0.0
2024-02-09,Education,0.0
2024-02-10,food & Dining,300.26
2024-02-10,Travel & Transportation,101.41
2024-02-10,Bills & Utilities,454.99
2024-02-10,Entertainment,0.0
2024-02-10,shopping,90.51
2024-02-10,health & Medical,0.0
2024-02-10,Education,0.0
2024-02-11,food & Dining,284.81
2024-02-11,Travel & Transportation,146.53
2024-02-11,Bills & Utilities,511.57
2024-02-11,Entertainment,0.0
2024-02-11,shopping,0.0
2024-02-11,health & Medical,0.0
2024-02-11,Education,0.0
2024-02-12,food & Dining,332.27
2024-02-12,Travel & Transportation,141.06
2024-02-12,Bills & Utilities,403.51
2024-02-12,Entertainment,0.0
2024-02-12,shopping,0.0
2024-02-12,health & Medical,157.77
2024-02-12,Education,0.0
2024-02-13,food & Dining,191.46
2024-02-13,Travel & Transportation,148.86
2024-02-13,Bills & Utilities,361.99
2024-02-13,Entertainment,0.0
2024-02-13,shopping,195.56
2024-02-13,health & Medical,0.0
2024-02-13,Education,0.0
2024-02-14,food & Dining,318.33
2024-02-14,Travel & Transportation,71.8
2024-02-14,Bills & Utilities,448.61
2024-02-14,Entertainment,75.86
2024-02-14,shopping,0.0
2024-02-14,health & Medical,0.0
2024-02-14,Education,0.0
2024-02-15,food & Dining,272.05
2024-02-15,Travel & Transportation,96.79
2024-02-15,Bills & Utilities,396.48
2024-02-15,Entertainment,0.0
2024-02-15,shopping,104.17
2024-02-15,health & Medical,72.01
2024-02-15,Education,260.7
2024-02-16,food & Dining,294.38
2024-02-16,Travel & Transportation,93.37
2024-02-16,Bills & Utilities,561.42
2024-02-16,Entertainment,0.0
2024-02-16,shopping,0.0
2024-02-16,health & Medical,0.0
2024-02-16,Education,0.0
2024-02-17,food & Dining,190.39
2024-02-17,Travel & Transportation,117.3
2024-02-17,Bills & Utilities,531.13
2024-02-17,Entertainment,0.0
2024-02-17,shopping,0.0
2024-02-17,health & Medical,0.0
2024-02-17,Education,0.0
2024-02-18,food & Dining,267.67
2024-02-18,Travel & Transportation,67.55
2024-02-18,Bills & Utilities,668.71
2024-02-18,Entertainment,211.71
2024-02-18,shopping,0.0
2024-02-18,health & Medical,0.0
2024-02-18,Education,0.0
2024-02-19,food & Dining,379.1
2024-02-19,Travel & Transportation,73.73
2024-02-19,Bills & Utilities,361.72
2024-02-19,Entertainment,0.0
2024-02-19,shopping,352.75
2024-02-19,health & Medical,0.0
2024-02-19,Education,0.0
2024-02-20,food & Dining,267.47
2024-02-20,Travel & Transportation,85.39
2024-02-20,Bills & Utilities,440.76
2024-02-20,Entertainment,0.0
2024-02-20,shopping,0.0
2024-02-20,health & Medical,0.0
2024-02-20,Education,0.0
2024-02-21,food & Dining,295.75
2024-02-21,Travel & Transportation,82.7
2024-02-21,Bills & Utilities,575.54
2024-02-21,Entertainment,185.06
2024-02-21,shopping,0.0
2024-02-21,health & Medical,0.0
2024-02-21,Education,0.0
2024-02-22,food & Dining,261.84
2024-02-22,Travel & Transportation,45.85
2024-02-22,Bills & Utilities,337.25
2024-02-22,Entertainment,0.0
2024-02-22,shopping,0.0
2024-02-22,health & Medical,0.0
2024-02-22,Education,0.0
2024-02-23,food & Dining,219.45
2024-02-23,Travel & Transportation,74.19
2024-02-23,Bills & Utilities,461.54
2024-02-23,Entertainment,0.0
2024-02-23,shopping,153.85
2024-02-23,health & Medical,0.0
2024-02-23,Education,0.0
2024-02-24,food & Dining,328.85
2024-02-24,Travel & Transportation,93.91
2024-02-24,Bills & Utilities,537.11
2024-02-24,Entertainment,107.72
2024-02-24,shopping,239.04
2024-02-24,health & Medical,0.0
2024-02-24,Education,0.0
2024-02-25,food & Dining,329.42
2024-02-25,Travel & Transportation,111.83
2024-02-25,Bills & Utilities,457.9
2024-02-25,Entertainment,0.0
2024-02-25,shopping,366.03
2024-02-25,health & Medical,0.0
2024-02-25,Education,0.0
2024-02-26,food & Dining,206.46
2024-02-26,Travel & Transportation,89.45
2024-02-26,Bills & Utilities,501.84
2024-02-26,Entertainment,0.0
2024-02-26,shopping,0.0
2024-02-26,health & Medical,132.92
2024-02-26,Education,205.76
2024-02-27,food & Dining,314.35
2024-02-27,Travel & Transportation,55.64
2024-02-27,Bills & Utilities,614.38
2024-02-27,Entertainment,0.0
2024-02-27,shopping,0.0
2024-02-27,health & Medical,0.0
2024-02-27,Education,0.0
2024-02-28,food & Dining,341.52
2024-02-28,Travel & Transportation,74.32
2024-02-28,Bills & Utilities,507.16
2024-02-28,Entertainment,116.56
2024-02-28,shopping,172.2
2024-02-28,health & Medical,0.0
2024-02-28,Education,0.0
2024-02-29,food & Dining,277.77
2024-02-29,Travel & Transportation,122.71
2024-02-29,Bills & Utilities,407.78
2024-02-29,Entertainment,0.0
2024-02-29,shopping,0.0
2024-02-29,health & Medical,0.0
2024-02-29,Education,187.77
2024-03-01,food & Dining,211.06
2024-03-01,Travel & Transportation,144.88
2024-03-01,Bills & Utilities,565.44
2024-03-01,Entertainment,0.0
2024-03-01,shopping,214.44
2024-03-01,health & Medical,0.0
2024-03-01,Education,339.11
2024-03-02,food & Dining,329.51
2024-03-02,Travel & Transportation,76.29
2024-03-02,Bills & Utilities,547.15
2024-03-02,Entertainment,0.0
2024-03-02,shopping,307.63
2024-03-02,health & Medical,60.42
2024-03-02,Education,0.0
2024-03-03,food & Dining,302.79
2024-03-03,Travel & Transportation,132.83
2024-03-03,Bills & Utilities,330.75
2024-03-03,Entertainment,0.0
2024-03-03,shopping,0.0
2024-03-03,health & Medical,0.0
2024-03-03,Education,292.61
2024-03-04,food & Dining,183.96
2024-03-04,Travel & Transportation,61.3
2024-03-04,Bills & Utilities,370.49
2024-03-04,Entertainment,0.0
2024-03-04,shopping,0.0
2024-03-04,health & Medical,0.0
2024-03-04,Education,0.0
2024-03-05,food & Dining,288.45
2024-03-05,Travel & Transportation,120.89
2024-03-05,Bills & Utilities,684.9
2024-03-05,Entertainment,0.0
2024-03-05,shopping,118.62
2024-03-05,health & Medical,0.0
2024-03-05,Education,210.04
2024-03-06,food & Dining,291.77
2024-03-06,Travel & Transportation,177.2
2024-03-06,Bills & Utilities,505.92
2024-03-06,Entertainment,0.0
2024-03-06,shopping,198.07
2024-03-06,health & Medical,0.0
2024-03-06,Education,0.0
2024-03-07,food & Dining,264.36
2024-03-07,Travel & Transportation,103.19
2024-03-07,Bills & Utilities,474.5
2024-03-07,Entertainment,0.0
2024-03-07,shopping,0.0
2024-03-07,health & Medical,0.0
2024-03-07,Education,264.49
2024-03-08,food & Dining,287.26
2024-03-08,Travel & Transportation,57.77
2024-03-08,Bills & Utilities,422.22
2024-03-08,Entertainment,0.0
2024-03-08,shopping,0.0
2024-03-08,health & Medical,0.0
2024-03-08,Education,0.0
2024-03-09,food & Dining,336.08
2024-03-09,Travel & Transportation,66.13
2024-03-09,Bills & Utilities,447.55
2024-03-09,Entertainment,0.0
2024-03-09,shopping,0.0
2024-03-09,health & Medical,0.0
2024-03-09,Education,0.0
2024-03-10,food & Dining,312.64
2024-03-10,Travel & Transportation,67.57
2024-03-10,Bills & Utilities,561.59
2024-03-10,Entertainment,0.0
2024-03-10,shopping,0.0
2024-03-10,health & Medical,0.0
2024-03-10,Education,0.0
2024-03-11,food & Dining,273.86
2024-03-11,Travel & Transportation,131.47
2024-03-11,Bills & Utilities,429.57
2024-03-11,Entertainment,0.0
2024-03-11,shopping,0.0
2024-03-11,health & Medical,0.0
2024-03-11,Education,162.33
2024-03-12,food & Dining,272.75
2024-03-12,Travel & Transportation,83.65
2024-03-12,Bills & Utilities,539.91
2024-03-12,Entertainment,147.37
2024-03-12,shopping,288.26
2024-03-12,health & Medical,0.0
2024-03-12,Education,0.0
2024-03-13,food & Dining,232.59
2024-03-13,Travel & Transportation,122.3
2024-03-13,Bills & Utilities,517.09
2024-03-13,Entertainment,137.12
2024-03-13,shopping,0.0
2024-03-13,health & Medical,0.0
2024-03-13,Education,0.0
2024-03-14,food & Dining,327.59
2024-03-14,Travel & Transportation,130.87
2024-03-14,Bills & Utilities,547.26
2024-03-14,Entertainment,0.0
2024-03-14,shopping,278.62
2024-03-14,health & Medical,0.0
2024-03-14,Education,0.0
2024-03-15,food & Dining,325.88
2024-03-15,Travel & Transportation,78.23
2024-03-15,Bills & Utilities,518.68
2024-03-15,Entertainment,0.0
2024-03-15,shopping,0.0
2024-03-15,health & Medical,0.0
2024-03-15,Education,0.0
2024-03-16,food & Dining,212.32
2024-03-16,Travel & Transportation,114.8
2024-03-16,Bills & Utilities,518.48
2024-03-16,Entertainment,0.0
2024-03-16,shopping,0.0
2024-03-16,health & Medical,0.0
2024-03-16,Education,0.0
2024-03-17,food & Dining,357.46
2024-03-17,Travel & Transportation,78.9
2024-03-17,Bills & Utilities,496.5
2024-03-17,Entertainment,0.0
2024-03-17,shopping,75.36
2024-03-17,health & Medical,0.0
2024-03-17,Education,0.0
2024-03-18,food & Dining,346.47
2024-03-18,Travel & Transportation,78.19
2024-03-18,Bills & Utilities,475.25
2024-03-18,Entertainment,0.0
2024-03-18,shopping,0.0
2024-03-18,health & Medical,0.0
2024-03-18,Education,0.0
2024-03-19,food & Dining,341.7
2024-03-19,Travel & Transportation,113.78
2024-03-19,Bills & Utilities,492.98
2024-03-19,Entertainment,0.0
2024-03-19,shopping,0.0
2024-03-19,health & Medical,0.0
2024-03-19,Education,272.33
2024-03-20,food & Dining,289.34
2024-03-20,Travel & Transportation,98.81
2024-03-20,Bills & Utilities,568.15
2024-03-20,Entertainment,0.0
2024-03-20,shopping,202.38
2024-03-20,health & Medical,0.0
2024-03-20,Education,0.0
2024-03-21,food & Dining,311.11
2024-03-21,Travel & Transportation,85.64
2024-03-21,Bills & Utilities,625.58
2024-03-21,Entertainment,0.0
2024-03-21,shopping,233.01
2024-03-21,health & Medical,0.0
2024-03-21,Education,0.0
2024-03-22,food & Dining,314.15
2024-03-22,Travel & Transportation,102.47
2024-03-22,Bills & Utilities,606.55
2024-03-22,Entertainment,0.0
2024-03-22,shopping,312.75
2024-03-22,health & Medical,0.0
2024-03-22,Education,0.0
2024-03-23,food & Dining,278.99
2024-03-23,Travel & Transportation,91.55
2024-03-23,Bills & Utilities,365.55
2024-03-23,Entertainment,0.0
2024-03-23,shopping,45.31
2024-03-23,health & Medical,0.0
2024-03-23,Education,0.0
2024-03-24,food & Dining,258.72
2024-03-24,Travel & Transportation,98.52
2024-03-24,Bills & Utilities,567.48
2024-03-24,Entertainment,71.41
2024-03-24,shopping,0.0
2024-03-24,health & Medical,0.0
2024-03-24,Education,0.0
2024-03-25,food & Dining,268.11
2024-03-25,Travel & Transportation,84.07
2024-03-25,Bills & Utilities,437.69
2024-03-25,Entertainment,111.12
2024-03-25,shopping,160.32
2024-03-25,health & Medical,93.28
2024-03-25,Education,0.0
2024-03-26,food & Dining,241.32
2024-03-26,Travel & Transportation,75.03
2024-03-26,Bills & Utilities,547.14
2024-03-26,Entertainment,0.0
2024-03-26,shopping,0.0
2024-03-26,health & Medical,0.0
2024-03-26,Education,0.0
2024-03-27,food & Dining,269.36
2024-03-27,Travel & Transportation,88.37
2024-03-27,Bills & Utilities,528.59
2024-03-27,Entertainment,0.0
2024-03-27,shopping,0.0
2024-03-27,health & Medical,0.0
2024-03-27,Education,0.0
2024-03-28,food & Dining,252.47
2024-03-28,Travel & Transportation,84.47
2024-03-28,Bills & Utilities,522.38
2024-03-28,Entertainment,0.0
2024-03-28,shopping,0.0
2024-03-28,health & Medical,0.0
2024-03-28,Education,0.0
2024-03-29,food & Dining,329.2
2024-03-29,Travel & Transportation,89.22
2024-03-29,Bills & Utilities,559.07
2024-03-29,Entertainment,227.61
2024-03-29,shopping,232.45
2024-03-29,health & Medical,0.0
2024-03-29,Education,0.0
2024-03-30,food & Dining,376.58
2024-03-30,Travel & Transportation,94.99
2024-03-30,Bills & Utilities,514.67
2024-03-30,Entertainment,0.0
2024-03-30,shopping,134.65
2024-03-30,health & Medical,0.0
2024-03-30,Education,0.0
2024-03-31,food & Dining,309.55
2024-03-31,Travel & Transportation,101.39
2024-03-31,Bills & Utilities,364.01
2024-03-31,Entertainment,0.0
2024-03-31,shopping,0.0
2024-03-31,health & Medical,0.0
2024-03-31,Education,0.0
2024-04-01,food & Dining,302.4
2024-04-01,Travel & Transportation,118.24
2024-04-01,Bills & Utilities,518.66
2024-04-01,Entertainment,0.0
2024-04-01,shopping,215.53
2024-04-01,health & Medical,0.0
2024-04-01,Education,0.0
2024-04-02,food & Dining,272.05
2024-04-02,Travel & Transportation,111.32
2024-04-02,Bills & Utilities,656.55
2024-04-02,Entertainment,0.0
2024-04-02,shopping,63.92
2024-04-02,health & Medical,0.0
2024-04-02,Education,0.0
2024-04-03,food & Dining,291.11
2024-04-03,Travel & Transportation,69.36
2024-04-03,Bills & Utilities,570.84
2024-04-03,Entertainment,0.0
2024-04-03,shopping,0.0
2024-04-03,health & Medical,0.0
2024-04-03,Education,0.0
2024-04-04,food & Dining,223.72
2024-04-04,Travel & Transportation,79.24
2024-04-04,Bills & Utilities,495.44
2024-04-04,Entertainment,167.03
2024-04-04,shopping,0.0
2024-04-04,health & Medical,0.0
2024-04-04,Education,0.0
2024-04-05,food & Dining,282.85
2024-04-05,Travel & Transportation,110.28
2024-04-05,Bills & Utilities,545.68
2024-04-05,Entertainment,189.88
2024-04-05,shopping,235.82
2024-04-05,health & Medical,0.0
2024-04-05,Education,0.0
2024-04-06,food & Dining,266.18
2024-04-06,Travel & Transportation,154.03
2024-04-06,Bills & Utilities,495.98
2024-04-06,Entertainment,0.0
2024-04-06,shopping,72.69
2024-04-06,health & Medical,0.0
2024-04-06,Education,0.0
2024-04-07,food & Dining,298.73
2024-04-07,Travel & Transportation,86.43
2024-04-07,Bills & Utilities,257.61
2024-04-07,Entertainment,0.0
2024-04-07,shopping,260.83
2024-04-07,health & Medical,0.0
2024-04-07,Education,247.61
2024-04-08,food & Dining,299.82
2024-04-08,Travel & Transportation,65.25
2024-04-08,Bills & Utilities,650.34
2024-04-08,Entertainment,0.0
2024-04-08,shopping,0.0
2024-04-08,health & Medical,0.0
2024-04-08,Education,0.0
2024-04-09,food & Dining,263.41
2024-04-09,Travel & Transportation,153.93
2024-04-09,Bills & Utilities,564.08
2024-04-09,Entertainment,0.0
2024-04-09,shopping,0.0
2024-04-09,health & Medical,0.0
2024-04-09,Education,296.23
2024-04-10,food & Dining,302.98
2024-04-10,Travel & Transportation,80.59
2024-04-10,Bills & Utilities,569.82
2024-04-10,Entertainment,177.54
2024-04-10,shopping,153.64
2024-04-10,health & Medical,0.0
2024-04-10,Education,0.0
2024-04-11,food & Dining,347.51
2024-04-11,Travel & Transportation,162.26
2024-04-11,Bills & Utilities,431.08
2024-04-11,Entertainment,0.0
2024-04-11,shopping,0.0
2024-04-11,health & Medical,73.94
2024-04-11,Education,0.0
2024-04-12,food & Dining,326.14
2024-04-12,Travel & Transportation,82.79
2024-04-12,Bills & Utilities,497.56
2024-04-12,Entertainment,0.0
2024-04-12,shopping,125.34
2024-04-12,health & Medical,130.13
2024-04-12,Education,0.0
2024-04-13,food & Dining,328.21
2024-04-13,Travel & Transportation,92.28
2024-04-13,Bills & Utilities,333.14
2024-04-13,Entertainment,177.95
2024-04-13,shopping,0.0
2024-04-13,health & Medical,50.97
2024-04-13,Education,0.0
2024-04-14,food & Dining,311.22
2024-04-14,Travel & Transportation,131.41
2024-04-14,Bills & Utilities,668.39
2024-04-14,Entertainment,0.0
2024-04-14,shopping,0.0
2024-04-14,health & Medical,77.09
2024-04-14,Education,0.0
2024-04-15,food & Dining,237.31
2024-04-15,Travel & Transportation,81.23
2024-04-15,Bills & Utilities,539.58
2024-04-15,Entertainment,0.0
2024-04-15,shopping,0.0
2024-04-15,health & Medical,0.0
2024-04-15,Education,0.0
2024-04-16,food & Dining,338.58
2024-04-16,Travel & Transportation,14.54
2024-04-16,Bills & Utilities,614.88
2024-04-16,Entertainment,0.0
2024-04-16,shopping,0.0
2024-04-16,health & Medical,0.0
2024-04-16,Education,0.0
2024-04-17,food & Dining,264.6
2024-04-17,Travel & Transportation,98.59
2024-04-17,Bills & Utilities,547.7
2024-04-17,Entertainment,0.0
2024-04-17,shopping,97.36
2024-04-17,health & Medical,0.0
2024-04-17,Education,0.0
2024-04-18,food & Dining,282.57
2024-04-18,Travel & Transportation,89.52
2024-04-18,Bills & Utilities,467.84
2024-04-18,Entertainment,295.37
2024-04-18,shopping,229.01
2024-04-18,health & Medical,0.0
2024-04-18,Education,0.0
2024-04-19,food & Dining,272.45
2024-04-19,Travel & Transportation,121.83
2024-04-19,Bills & Utilities,505.19
2024-04-19,Entertainment,0.0
2024-04-19,shopping,0.0
2024-04-19,health & Medical,0.0
2024-04-19,Education,0.0
2024-04-20,food & Dining,404.42
2024-04-20,Travel & Transportation,95.81
2024-04-20,Bills & Utilities,610.82
2024-04-20,Entertainment,0.0
2024-04-20,shopping,0.0
2024-04-20,health & Medical,73.97
2024-04-20,Education,0.0
2024-04-21,food & Dining,254.14
2024-04-21,Travel & Transportation,104.51
2024-04-21,Bills & Utilities,536.5
2024-04-21,Entertainment,318.24
2024-04-21,shopping,0.0
2024-04-21,health & Medical,0.0
2024-04-21,Education,0.0
2024-04-22,food & Dining,381.67
2024-04-22,Travel & Transportation,65.61
2024-04-22,Bills & Utilities,530.26
2024-04-22,Entertainment,97.2
2024-04-22,shopping,280.41
2024-04-22,health & Medical,0.0
2024-04-22,Education,0.0
2024-04-23,food & Dining,317.78
2024-04-23,Travel & Transportation,135.68
2024-04-23,Bills & Utilities,377.24
2024-04-23,Entertainment,191.82
2024-04-23,shopping,0.0
2024-04-23,health & Medical,0.0
2024-04-23,Education,0.0
2024-04-24,food & Dining,245.19
2024-04-24,Travel & Transportation,56.8
2024-04-24,Bills & Utilities,659.45
2024-04-24,Entertainment,0.0
2024-04-24,shopping,0.0
2024-04-24,health & Medical,0.0
2024-04-24,Education,0.0
2024-04-25,food & Dining,264.99
2024-04-25,Travel & Transportation,79.36
2024-04-25,Bills & Utilities,725.24
2024-04-25,Entertainment,0.0
2024-04-25,shopping,0.0
2024-04-25,health & Medical,0.0
2024-04-25,Education,0.0
2024-04-26,food & Dining,369.21
2024-04-26,Travel & Transportation,116.92
2024-04-26,Bills & Utilities,559.48
